,P1,P2,P3,P4,P5,P6,P7,P8,P9,Gesto
96,"(211, 144)","(449, 375)","(307, 481)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
97,"(215, 144)","(454, 379)","(311, 483)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
98,"(226, 149)","(462, 386)","(313, 482)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
99,"(234, 151)","(467, 389)","(318, 483)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
100,"(246, 147)","(476, 393)","(329, 486)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
101,"(254, 148)","(481, 396)","(333, 486)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
102,"(258, 147)","(483, 396)","(336, 486)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
103,"(264, 148)","(488, 401)","(339, 487)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
104,"(266, 145)","(489, 401)","(340, 486)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
105,"(270, 147)","(489, 401)","(342, 488)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
106,"(269, 143)","(491, 404)","(341, 486)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
107,"(272, 145)","(491, 405)","(342, 488)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
108,"(274, 144)","(492, 408)","(341, 487)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
109,"(274, 142)","(491, 408)","(340, 486)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
110,"(275, 142)","(490, 408)","(341, 488)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
111,"(276, 142)","(490, 410)","(340, 488)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
112,"(277, 141)","(490, 414)","(337, 486)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
113,"(277, 140)","(488, 413)","(326, 473)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
114,"(277, 138)","(487, 413)","(336, 486)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
115,"(276, 134)","(487, 415)","(334, 483)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
116,"(278, 134)","(485, 414)","(322, 469)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
117,"(278, 132)","(484, 415)","(332, 483)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
118,"(278, 130)","(484, 417)","(330, 481)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
119,"(279, 129)","(484, 418)","(330, 481)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
120,"(279, 127)","(485, 420)","(330, 480)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
121,"(281, 127)","(485, 420)","(329, 478)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
122,"(283, 127)","(484, 419)","(320, 464)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
123,"(283, 124)","(483, 418)","(330, 478)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
124,"(285, 124)","(484, 420)","(330, 478)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
125,"(291, 125)","(485, 424)","(332, 481)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
126,"(292, 124)","(485, 425)","(323, 469)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
127,"(294, 125)","(487, 430)","(323, 470)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
128,"(297, 127)","(488, 434)","(324, 474)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
129,"(300, 129)","(486, 433)","(325, 475)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
130,"(301, 129)","(488, 438)","(325, 476)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
131,"(303, 129)","(488, 439)","(326, 479)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
132,"(306, 130)","(488, 440)","(328, 482)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
133,"(309, 131)","(488, 441)","(328, 482)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
134,"(311, 131)","(490, 444)","(328, 482)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
135,"(311, 130)","(489, 443)","(329, 486)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
136,"(312, 131)","(489, 444)","(326, 478)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
137,"(312, 131)","(489, 444)","(329, 485)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
138,"(313, 133)","(489, 444)","(328, 482)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
139,"(312, 131)","(489, 444)","(328, 483)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
140,"(312, 131)","(489, 444)","(328, 483)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
141,"(312, 130)","(490, 445)","(328, 481)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
142,"(313, 130)","(489, 444)","(329, 482)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
143,"(314, 130)","(489, 445)","(329, 483)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
144,"(314, 128)","(489, 447)","(329, 485)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
145,"(316, 129)","(490, 450)","(330, 483)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
146,"(318, 130)","(490, 450)","(330, 486)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
147,"(320, 130)","(490, 451)","(332, 489)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
148,"(323, 131)","(492, 455)","(331, 483)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
149,"(325, 130)","(492, 455)","(333, 489)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
150,"(326, 131)","(492, 455)","(333, 491)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
151,"(326, 131)","(491, 454)","(333, 489)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
152,"(327, 130)","(491, 454)","(334, 489)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
153,"(328, 130)","(491, 455)","(334, 489)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
154,"(333, 134)","(494, 461)","(335, 490)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
155,"(337, 135)","(495, 462)","(337, 493)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
156,"(340, 135)","(497, 465)","(338, 488)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
157,"(342, 134)","(498, 466)","(340, 493)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
158,"(343, 131)","(499, 467)","(340, 490)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
159,"(345, 133)","(499, 467)","(341, 491)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
160,"(345, 133)","(499, 468)","(341, 493)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
161,"(347, 134)","(499, 470)","(341, 492)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
162,"(347, 134)","(499, 471)","(341, 493)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
163,"(347, 133)","(498, 469)","(340, 487)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
164,"(348, 132)","(500, 475)","(341, 491)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
165,"(351, 135)","(500, 476)","(342, 493)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
166,"(351, 134)","(500, 476)","(341, 492)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
167,"(351, 134)","(500, 478)","(347, 507)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
168,"(353, 136)","(500, 478)","(340, 485)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
169,"(354, 135)","(500, 478)","(342, 489)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
170,"(354, 134)","(500, 479)","(342, 489)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
171,"(355, 133)","(501, 482)","(343, 494)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
172,"(358, 134)","(501, 481)","(348, 497)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
173,"(358, 133)","(501, 480)","(349, 499)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
174,"(359, 135)","(501, 482)","(343, 492)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
175,"(360, 136)","(501, 484)","(343, 490)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
176,"(360, 135)","(501, 484)","(343, 492)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
177,"(360, 134)","(501, 484)","(349, 502)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
178,"(362, 136)","(501, 484)","(349, 500)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
179,"(363, 136)","(502, 486)","(344, 491)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
180,"(364, 133)","(501, 483)","(349, 497)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
181,"(366, 135)","(501, 482)","(344, 483)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
182,"(366, 133)","(502, 484)","(350, 497)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
183,"(367, 133)","(502, 483)","(345, 485)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
184,"(367, 131)","(502, 483)","(345, 484)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
185,"(368, 132)","(501, 480)","(350, 494)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
186,"(368, 132)","(502, 483)","(350, 494)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
187,"(368, 132)","(502, 484)","(345, 483)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
188,"(368, 131)","(502, 484)","(345, 485)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
189,"(369, 131)","(503, 485)","(350, 492)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
190,"(370, 131)","(503, 483)","(351, 493)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
191,"(370, 129)","(503, 481)","(351, 490)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
192,"(371, 129)","(503, 479)","(346, 477)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
193,"(371, 127)","(504, 479)","(347, 475)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
194,"(373, 127)","(504, 478)","(353, 488)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
195,"(373, 126)","(505, 481)","(353, 488)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
196,"(373, 125)","(504, 479)","(353, 487)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
197,"(373, 123)","(504, 479)","(353, 487)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
198,"(374, 124)","(505, 481)","(353, 486)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
199,"(374, 123)","(505, 481)","(353, 486)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
200,"(374, 122)","(504, 479)","(353, 486)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
201,"(375, 123)","(505, 482)","(353, 485)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
202,"(375, 121)","(504, 479)","(354, 487)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
203,"(376, 123)","(504, 479)","(353, 484)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
