,P1,P2,P3,P4,P5,P6,P7,P8,P9,Gesto
18,"(88, 124)","(407, 161)","(314, 345)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
19,"(89, 124)","(405, 161)","(315, 345)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
20,"(86, 123)","(410, 162)","(314, 345)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
21,"(88, 123)","(408, 162)","(314, 345)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
22,"(88, 123)","(409, 162)","(314, 345)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
23,"(86, 122)","(410, 162)","(315, 345)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
24,"(88, 122)","(409, 162)","(314, 344)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
25,"(90, 122)","(406, 162)","(315, 345)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
26,"(89, 121)","(411, 163)","(314, 345)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
27,"(91, 121)","(405, 163)","(313, 345)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
28,"(92, 121)","(408, 164)","(315, 346)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
29,"(89, 120)","(412, 165)","(315, 346)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
30,"(92, 120)","(412, 165)","(315, 346)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
31,"(92, 120)","(410, 165)","(315, 346)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
32,"(92, 120)","(412, 166)","(314, 346)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
33,"(93, 120)","(416, 168)","(315, 347)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
34,"(94, 120)","(416, 169)","(314, 347)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
35,"(94, 120)","(415, 169)","(314, 347)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
36,"(92, 119)","(413, 168)","(314, 347)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
37,"(94, 119)","(409, 167)","(314, 347)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
38,"(95, 119)","(415, 168)","(314, 347)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
39,"(95, 119)","(414, 168)","(314, 347)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
40,"(94, 119)","(412, 168)","(314, 347)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
41,"(95, 119)","(410, 168)","(315, 348)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
42,"(96, 119)","(416, 169)","(314, 348)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
43,"(96, 119)","(410, 168)","(315, 348)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
44,"(97, 119)","(415, 169)","(315, 348)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
45,"(94, 118)","(415, 169)","(315, 348)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
46,"(95, 118)","(411, 168)","(315, 348)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
47,"(94, 118)","(412, 168)","(315, 348)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
48,"(94, 118)","(409, 168)","(315, 348)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
49,"(97, 119)","(415, 169)","(316, 349)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
50,"(94, 118)","(414, 169)","(314, 348)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
51,"(98, 119)","(414, 169)","(315, 349)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
52,"(97, 119)","(409, 168)","(314, 349)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
53,"(97, 119)","(409, 168)","(314, 349)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
54,"(98, 119)","(414, 170)","(315, 350)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
55,"(98, 119)","(411, 170)","(315, 350)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
56,"(98, 119)","(412, 170)","(315, 350)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
57,"(98, 119)","(412, 170)","(315, 350)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
58,"(99, 119)","(410, 170)","(315, 350)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
59,"(96, 118)","(411, 170)","(316, 350)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
60,"(98, 118)","(411, 170)","(316, 350)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
61,"(99, 118)","(410, 170)","(316, 350)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
62,"(100, 118)","(415, 171)","(316, 350)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
63,"(99, 117)","(411, 171)","(316, 350)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
64,"(101, 117)","(413, 171)","(316, 350)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
65,"(102, 117)","(412, 171)","(316, 350)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
66,"(103, 116)","(414, 173)","(317, 351)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
67,"(102, 115)","(418, 174)","(317, 351)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
68,"(106, 115)","(419, 175)","(318, 351)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
69,"(107, 114)","(418, 176)","(318, 351)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
70,"(109, 113)","(422, 178)","(319, 352)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
71,"(108, 111)","(423, 179)","(320, 352)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
72,"(111, 110)","(422, 180)","(321, 352)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
73,"(114, 108)","(424, 182)","(323, 353)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
74,"(118, 106)","(429, 184)","(324, 353)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
75,"(118, 103)","(431, 186)","(325, 353)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
76,"(120, 100)","(433, 188)","(289, 556)","(326, 354)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
77,"(132, 95)","(438, 194)","(288, 553)","(328, 355)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
78,"(136, 92)","(441, 197)","(286, 553)","(329, 356)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
79,"(139, 89)","(443, 200)","(284, 555)","(329, 357)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
80,"(143, 87)","(446, 203)","(282, 554)","(330, 358)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
81,"(144, 84)","(442, 203)","(281, 555)","(331, 359)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
82,"(147, 83)","(444, 205)","(279, 556)","(330, 359)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
83,"(149, 81)","(447, 208)","(279, 554)","(331, 360)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
84,"(153, 79)","(447, 210)","(277, 556)","(332, 361)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
85,"(155, 77)","(448, 212)","(277, 555)","(332, 361)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
86,"(158, 76)","(448, 213)","(275, 556)","(332, 362)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
87,"(161, 74)","(449, 216)","(274, 557)","(334, 364)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
88,"(165, 73)","(454, 220)","(275, 555)","(334, 364)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
89,"(169, 73)","(457, 223)","(274, 556)","(335, 365)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
90,"(177, 71)","(460, 228)","(338, 368)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
91,"(179, 70)","(461, 229)","(338, 367)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
92,"(180, 69)","(461, 229)","(338, 368)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
93,"(182, 68)","(462, 231)","(339, 369)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
94,"(187, 68)","(465, 234)","(340, 370)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
95,"(187, 67)","(465, 234)","(340, 370)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
96,"(190, 69)","(465, 234)","(340, 370)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
97,"(188, 68)","(462, 232)","(339, 370)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
98,"(189, 69)","(463, 233)","(337, 369)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
99,"(188, 69)","(459, 230)","(337, 369)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
100,"(186, 71)","(461, 229)","(337, 369)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
101,"(186, 74)","(463, 230)","(337, 369)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
102,"(183, 76)","(462, 230)","(339, 372)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
103,"(181, 74)","(465, 233)","(340, 373)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
104,"(180, 72)","(466, 236)","(340, 375)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
105,"(184, 73)","(466, 238)","(342, 378)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
106,"(185, 71)","(467, 241)","(345, 381)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
107,"(189, 71)","(471, 246)","(347, 384)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
108,"(192, 71)","(474, 250)","(348, 386)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
109,"(197, 72)","(476, 253)","(351, 390)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
110,"(200, 72)","(476, 255)","(354, 393)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
111,"(203, 72)","(481, 260)","(355, 394)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
112,"(205, 73)","(484, 262)","(357, 396)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
113,"(207, 74)","(486, 264)","(359, 398)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
114,"(212, 75)","(488, 268)","(361, 402)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
115,"(213, 75)","(487, 268)","(201, 274)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
116,"(215, 75)","(489, 270)","(203, 274)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
117,"(219, 76)","(491, 272)","(205, 274)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
118,"(222, 76)","(495, 275)","(207, 274)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
119,"(224, 75)","(496, 276)","(209, 273)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
120,"(226, 74)","(498, 278)","(212, 273)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
121,"(230, 75)","(501, 280)","(214, 273)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
122,"(234, 77)","(503, 282)","(216, 273)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
123,"(238, 79)","(503, 284)","(219, 273)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
124,"(240, 79)","(507, 288)","(221, 274)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
125,"(242, 79)","(510, 293)","(223, 274)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
126,"(244, 79)","(510, 295)","(224, 274)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
127,"(246, 79)","(512, 299)","(225, 273)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
128,"(247, 79)","(511, 300)","(227, 273)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
129,"(251, 81)","(511, 302)","(228, 274)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
130,"(252, 81)","(508, 300)","(228, 273)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
131,"(253, 82)","(507, 296)","(226, 272)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
132,"(241, 79)","(500, 281)","(218, 270)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
133,"(228, 80)","(493, 265)","(208, 270)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
134,"(217, 76)","(492, 261)","(366, 395)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
135,"(218, 75)","(496, 265)","(369, 396)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
136,"(223, 74)","(498, 269)","(212, 268)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
137,"(232, 72)","(503, 277)","(218, 267)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
138,"(236, 70)","(510, 285)","(220, 269)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
139,"(231, 75)","(498, 270)","(212, 269)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
140,"(217, 75)","(484, 250)","(200, 269)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
141,"(192, 79)","(471, 230)","(184, 273)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
142,"(171, 82)","(461, 220)","(349, 372)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
143,"(169, 85)","(460, 218)","(349, 372)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
144,"(170, 86)","(463, 219)","(352, 373)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
145,"(171, 87)","(464, 219)","(354, 357)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
146,"(173, 88)","(468, 220)","(183, 281)","(304, 568)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
147,"(173, 89)","(466, 218)","(184, 282)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
148,"(174, 91)","(467, 216)","(185, 283)","(308, 567)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
149,"(172, 91)","(465, 214)","(185, 283)","(309, 567)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
150,"(172, 91)","(468, 214)","(185, 284)","(312, 560)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
151,"(172, 94)","(463, 210)","(311, 564)","(359, 370)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
152,"(168, 96)","(463, 209)","(312, 565)","(359, 370)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
153,"(170, 97)","(467, 212)","(315, 565)","(362, 372)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
154,"(172, 98)","(470, 214)","(315, 567)","(363, 373)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
155,"(170, 98)","(469, 215)","(364, 375)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
156,"(172, 100)","(473, 219)","(365, 377)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
157,"(176, 102)","(474, 222)","(366, 380)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
158,"(176, 102)","(478, 226)","(368, 382)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
159,"(178, 103)","(479, 229)","(370, 385)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
160,"(182, 105)","(482, 233)","(373, 388)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
161,"(184, 106)","(486, 237)","(376, 391)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
162,"(189, 108)","(490, 240)","(378, 393)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
163,"(190, 108)","(491, 241)","(379, 394)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
164,"(193, 109)","(492, 242)","(381, 395)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
165,"(193, 109)","(495, 244)","(382, 396)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
166,"(196, 110)","(497, 246)","(384, 398)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
167,"(200, 112)","(498, 249)","(386, 401)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
168,"(198, 112)","(499, 250)","(387, 402)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
169,"(198, 113)","(500, 250)","(388, 402)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
170,"(200, 115)","(501, 250)","(388, 402)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
171,"(198, 115)","(502, 250)","(390, 403)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
172,"(197, 116)","(502, 250)","(391, 403)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
173,"(199, 118)","(502, 250)","(392, 404)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
174,"(202, 120)","(506, 252)","(394, 405)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
175,"(203, 120)","(508, 254)","(397, 407)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
176,"(208, 122)","(509, 255)","(399, 408)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
177,"(208, 122)","(515, 258)","(401, 409)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
178,"(211, 123)","(515, 259)","(404, 411)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
179,"(214, 124)","(518, 261)","(406, 412)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
180,"(217, 125)","(522, 263)","(408, 413)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
181,"(220, 125)","(522, 263)","(409, 400)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
182,"(221, 125)","(523, 263)","(411, 413)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
183,"(221, 124)","(524, 263)","(411, 413)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
184,"(220, 123)","(524, 264)","(235, 319)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
185,"(223, 124)","(524, 265)","(236, 319)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
186,"(222, 124)","(524, 265)","(411, 414)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
187,"(222, 124)","(522, 264)","(411, 414)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
188,"(220, 123)","(523, 265)","(412, 415)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
189,"(220, 123)","(523, 265)","(411, 414)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
190,"(220, 123)","(525, 266)","(412, 415)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
191,"(223, 124)","(524, 266)","(412, 415)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
192,"(222, 124)","(525, 267)","(411, 415)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
193,"(222, 124)","(524, 267)","(236, 319)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
194,"(222, 124)","(523, 267)","(411, 416)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
195,"(223, 124)","(526, 269)","(412, 417)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
196,"(221, 123)","(526, 269)","(412, 417)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
197,"(222, 123)","(525, 269)","(410, 403)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
198,"(224, 123)","(527, 273)","(412, 419)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
199,"(228, 123)","(535, 281)","(413, 421)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
200,"(228, 122)","(533, 282)","(413, 422)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
201,"(229, 121)","(539, 289)","(414, 423)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
202,"(230, 119)","(541, 294)","(413, 423)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
203,"(231, 118)","(543, 298)","(415, 425)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
