,P1,P2,P3,P4,P5,P6,P7,P8,P9,Gesto
38,"(118, 318)","(220, 71)","(291, 39)","(351, 79)","(414, 191)","(197, 461)","(258, 330)","(306, 337)","(345, 374)",1
39,"(118, 318)","(220, 71)","(292, 39)","(351, 79)","(414, 191)","(197, 461)","(258, 330)","(306, 337)","(344, 372)",1
40,"(117, 321)","(220, 71)","(291, 39)","(351, 79)","(414, 191)","(197, 461)","(258, 330)","(306, 336)","(345, 374)",1
41,"(117, 321)","(221, 69)","(291, 40)","(352, 81)","(414, 191)","(197, 461)","(258, 330)","(306, 337)","(345, 374)",1
42,"(117, 321)","(220, 70)","(291, 39)","(351, 80)","(415, 193)","(197, 461)","(258, 330)","(306, 336)","(345, 374)",1
43,"(117, 321)","(220, 71)","(291, 39)","(350, 79)","(414, 191)","(197, 461)","(257, 331)","(306, 337)","(345, 374)",1
44,"(117, 321)","(221, 69)","(292, 39)","(350, 80)","(415, 193)","(197, 461)","(258, 330)","(306, 337)","(345, 374)",1
45,"(118, 319)","(220, 71)","(291, 39)","(350, 79)","(414, 191)","(197, 461)","(258, 330)","(306, 337)","(344, 373)",1
46,"(118, 319)","(220, 71)","(291, 40)","(352, 82)","(414, 191)","(197, 461)","(257, 331)","(306, 337)","(345, 374)",1
47,"(119, 317)","(220, 71)","(291, 40)","(351, 81)","(415, 193)","(197, 461)","(257, 331)","(306, 337)","(344, 373)",1
48,"(117, 322)","(220, 71)","(291, 40)","(350, 79)","(415, 193)","(197, 461)","(257, 331)","(306, 338)","(344, 373)",1
49,"(117, 323)","(220, 71)","(290, 39)","(350, 80)","(415, 193)","(197, 462)","(257, 331)","(305, 338)","(344, 373)",1
50,"(119, 319)","(219, 73)","(289, 40)","(349, 79)","(413, 190)","(197, 463)","(257, 332)","(305, 339)","(343, 372)",1
51,"(119, 321)","(220, 73)","(292, 41)","(349, 79)","(415, 194)","(197, 464)","(256, 332)","(304, 340)","(343, 373)",1
52,"(120, 321)","(219, 73)","(290, 40)","(347, 78)","(413, 191)","(197, 465)","(254, 332)","(303, 340)","(342, 372)",1
53,"(121, 321)","(217, 75)","(290, 42)","(347, 79)","(412, 190)","(197, 466)","(253, 332)","(303, 341)","(341, 373)",1
54,"(121, 324)","(213, 77)","(289, 41)","(347, 79)","(412, 190)","(197, 468)","(252, 333)","(302, 342)","(341, 374)",1
55,"(122, 323)","(212, 78)","(285, 43)","(346, 80)","(410, 188)","(196, 472)","(252, 335)","(301, 341)","(341, 374)",1
56,"(122, 322)","(212, 78)","(286, 42)","(346, 80)","(412, 191)","(196, 472)","(252, 336)","(302, 343)","(341, 373)",1
57,"(120, 325)","(212, 78)","(287, 43)","(347, 80)","(411, 189)","(197, 470)","(252, 336)","(302, 343)","(341, 373)",1
58,"(116, 333)","(211, 79)","(287, 43)","(347, 79)","(412, 190)","(197, 473)","(252, 336)","(302, 339)","(342, 374)",1
59,"(113, 339)","(212, 78)","(287, 43)","(347, 79)","(413, 191)","(198, 471)","(253, 336)","(303, 342)","(342, 373)",1
60,"(112, 340)","(212, 78)","(286, 42)","(347, 79)","(413, 191)","(197, 473)","(253, 336)","(303, 341)","(343, 374)",1
61,"(111, 341)","(212, 78)","(287, 43)","(348, 80)","(413, 191)","(198, 470)","(254, 335)","(304, 340)","(343, 374)",1
62,"(112, 338)","(211, 80)","(286, 43)","(348, 81)","(413, 191)","(198, 470)","(254, 336)","(304, 340)","(343, 374)",1
63,"(112, 338)","(211, 80)","(287, 43)","(347, 79)","(413, 191)","(198, 470)","(254, 336)","(304, 341)","(343, 373)",1
64,"(111, 340)","(211, 80)","(287, 43)","(348, 80)","(412, 189)","(198, 470)","(254, 336)","(304, 341)","(343, 373)",1
65,"(111, 340)","(212, 78)","(287, 43)","(347, 79)","(413, 191)","(197, 472)","(254, 335)","(304, 340)","(343, 373)",1
66,"(111, 340)","(212, 78)","(287, 43)","(349, 80)","(412, 189)","(197, 472)","(254, 336)","(304, 341)","(344, 374)",1
67,"(112, 337)","(212, 78)","(287, 43)","(347, 79)","(414, 192)","(197, 472)","(255, 335)","(304, 340)","(343, 373)",1
68,"(111, 339)","(212, 78)","(287, 42)","(349, 81)","(413, 190)","(197, 472)","(254, 335)","(304, 341)","(344, 374)",1
69,"(111, 339)","(212, 78)","(287, 43)","(347, 79)","(414, 192)","(197, 472)","(254, 336)","(304, 340)","(344, 374)",1
70,"(109, 343)","(211, 79)","(287, 42)","(349, 80)","(413, 190)","(197, 472)","(254, 335)","(304, 340)","(344, 374)",1
71,"(108, 344)","(211, 79)","(287, 42)","(347, 79)","(415, 193)","(197, 472)","(254, 335)","(304, 341)","(344, 374)",1
72,"(106, 347)","(211, 79)","(286, 42)","(347, 79)","(414, 191)","(197, 471)","(254, 335)","(304, 340)","(343, 372)",1
73,"(103, 351)","(211, 79)","(287, 42)","(348, 79)","(415, 192)","(197, 471)","(253, 335)","(304, 340)","(343, 372)",1
74,"(101, 355)","(211, 79)","(287, 42)","(349, 81)","(416, 193)","(196, 473)","(254, 334)","(304, 341)","(343, 372)",1
75,"(97, 363)","(211, 80)","(287, 43)","(349, 80)","(416, 192)","(195, 475)","(254, 335)","(304, 341)","(343, 372)",1
76,"(97, 363)","(211, 79)","(286, 42)","(350, 81)","(416, 192)","(195, 475)","(253, 335)","(304, 339)","(343, 372)",1
77,"(95, 368)","(211, 79)","(287, 43)","(349, 80)","(415, 190)","(195, 475)","(253, 335)","(304, 339)","(343, 372)",1
78,"(94, 371)","(211, 79)","(287, 43)","(350, 79)","(415, 190)","(194, 477)","(253, 335)","(304, 340)","(343, 371)",1
79,"(93, 374)","(211, 79)","(287, 43)","(349, 78)","(415, 190)","(194, 477)","(252, 335)","(303, 339)","(343, 372)",1
80,"(93, 374)","(211, 80)","(286, 42)","(349, 78)","(416, 191)","(194, 476)","(263, 329)","(303, 339)","(343, 372)",1
81,"(93, 374)","(211, 78)","(288, 42)","(349, 78)","(417, 192)","(194, 476)","(263, 329)","(303, 339)","(343, 372)",1
82,"(94, 370)","(211, 78)","(287, 43)","(350, 79)","(417, 193)","(194, 476)","(251, 335)","(303, 340)","(343, 373)",1
83,"(95, 367)","(211, 79)","(286, 43)","(350, 81)","(416, 193)","(195, 474)","(252, 335)","(302, 341)","(342, 374)",1
84,"(96, 366)","(209, 83)","(286, 44)","(350, 82)","(415, 193)","(195, 476)","(250, 337)","(301, 342)","(342, 375)",1
85,"(96, 366)","(209, 84)","(285, 46)","(350, 84)","(415, 195)","(195, 477)","(250, 337)","(301, 344)","(341, 376)",1
86,"(99, 360)","(208, 85)","(286, 48)","(348, 83)","(415, 197)","(195, 477)","(250, 337)","(301, 346)","(341, 378)",1
87,"(99, 358)","(208, 85)","(286, 47)","(347, 84)","(412, 195)","(195, 476)","(250, 338)","(301, 347)","(340, 379)",1
88,"(100, 355)","(207, 86)","(285, 48)","(347, 86)","(410, 195)","(195, 474)","(249, 339)","(300, 348)","(339, 380)",1
89,"(100, 356)","(207, 91)","(285, 53)","(346, 93)","(410, 208)","(194, 479)","(248, 347)","(299, 358)","(337, 393)",1
90,"(101, 355)","(208, 94)","(284, 59)","(346, 100)","(408, 214)","(193, 483)","(247, 353)","(298, 364)","(337, 401)",1
91,"(101, 356)","(210, 98)","(286, 65)","(348, 109)","(409, 224)","(192, 486)","(247, 359)","(298, 372)","(336, 409)",1
92,"(100, 359)","(210, 101)","(287, 70)","(347, 113)","(408, 227)","(192, 487)","(248, 363)","(297, 374)","(335, 411)",1
93,"(100, 360)","(210, 103)","(287, 71)","(347, 114)","(408, 227)","(192, 489)","(248, 363)","(298, 376)","(336, 410)",1
94,"(97, 368)","(209, 105)","(287, 71)","(348, 113)","(410, 229)","(191, 496)","(248, 365)","(298, 376)","(336, 409)",1
95,"(93, 377)","(208, 106)","(286, 72)","(348, 113)","(410, 228)","(191, 496)","(248, 365)","(298, 375)","(337, 410)",1
96,"(90, 384)","(209, 105)","(286, 72)","(347, 112)","(409, 226)","(190, 498)","(248, 365)","(298, 374)","(337, 408)",1
97,"(90, 384)","(208, 107)","(286, 72)","(348, 113)","(409, 226)","(190, 498)","(248, 365)","(299, 374)","(338, 409)",1
98,"(89, 387)","(208, 107)","(286, 72)","(347, 112)","(410, 227)","(189, 500)","(248, 365)","(299, 375)","(338, 409)",1
99,"(90, 385)","(210, 105)","(287, 73)","(347, 112)","(409, 226)","(190, 497)","(248, 365)","(299, 374)","(338, 409)",1
100,"(91, 383)","(209, 105)","(287, 73)","(348, 113)","(410, 228)","(190, 497)","(248, 365)","(299, 374)","(338, 410)",1
101,"(91, 383)","(209, 106)","(286, 72)","(348, 113)","(410, 228)","(190, 497)","(248, 365)","(299, 374)","(338, 409)",1
102,"(91, 383)","(209, 106)","(288, 73)","(348, 114)","(410, 228)","(190, 497)","(248, 365)","(299, 374)","(338, 409)",1
103,"(92, 380)","(209, 106)","(286, 72)","(348, 113)","(410, 228)","(190, 497)","(249, 365)","(299, 375)","(338, 409)",1
104,"(92, 380)","(209, 106)","(286, 72)","(348, 114)","(410, 228)","(190, 497)","(248, 365)","(299, 373)","(338, 410)",1
105,"(92, 380)","(209, 106)","(287, 73)","(348, 113)","(410, 228)","(190, 497)","(248, 365)","(299, 374)","(338, 410)",1
106,"(92, 380)","(210, 105)","(286, 72)","(347, 112)","(410, 228)","(190, 496)","(249, 365)","(299, 375)","(338, 410)",1
107,"(93, 378)","(210, 105)","(285, 72)","(348, 113)","(410, 228)","(190, 497)","(248, 365)","(299, 374)","(337, 408)",1
108,"(93, 378)","(208, 107)","(287, 73)","(348, 113)","(410, 228)","(190, 497)","(249, 365)","(299, 373)","(338, 410)",1
109,"(93, 378)","(208, 107)","(286, 72)","(348, 113)","(409, 226)","(190, 497)","(249, 365)","(299, 375)","(338, 410)",1
110,"(93, 378)","(208, 106)","(287, 73)","(348, 113)","(410, 228)","(190, 497)","(249, 365)","(299, 374)","(338, 410)",1
111,"(92, 380)","(208, 107)","(287, 73)","(348, 113)","(410, 228)","(190, 497)","(248, 365)","(299, 374)","(338, 409)",1
112,"(92, 380)","(209, 104)","(288, 72)","(348, 113)","(409, 226)","(190, 497)","(249, 365)","(299, 374)","(338, 409)",1
113,"(92, 380)","(208, 106)","(285, 72)","(348, 113)","(409, 226)","(191, 494)","(249, 365)","(299, 375)","(338, 410)",1
114,"(92, 380)","(210, 104)","(286, 72)","(347, 112)","(409, 226)","(190, 497)","(249, 365)","(299, 374)","(338, 409)",1
115,"(92, 380)","(208, 106)","(286, 72)","(347, 112)","(411, 229)","(190, 497)","(249, 365)","(299, 374)","(338, 410)",1
116,"(92, 380)","(210, 104)","(287, 73)","(347, 112)","(411, 229)","(190, 496)","(249, 365)","(299, 374)","(338, 410)",1
117,"(92, 380)","(209, 105)","(286, 72)","(347, 112)","(411, 229)","(190, 496)","(248, 365)","(299, 375)","(338, 409)",1
118,"(92, 380)","(209, 105)","(286, 71)","(347, 112)","(410, 227)","(190, 496)","(249, 365)","(299, 374)","(338, 410)",1
119,"(92, 381)","(208, 106)","(286, 72)","(347, 112)","(409, 226)","(190, 497)","(248, 365)","(299, 374)","(338, 410)",1
120,"(92, 381)","(208, 106)","(285, 72)","(347, 112)","(410, 227)","(190, 497)","(249, 365)","(299, 373)","(338, 409)",1
121,"(92, 381)","(209, 105)","(286, 72)","(348, 113)","(410, 227)","(190, 497)","(249, 365)","(299, 375)","(338, 409)",1
122,"(92, 380)","(208, 106)","(286, 72)","(347, 112)","(411, 229)","(190, 497)","(249, 365)","(299, 374)","(338, 409)",1
123,"(92, 380)","(209, 105)","(287, 72)","(347, 112)","(410, 227)","(190, 497)","(249, 365)","(299, 375)","(338, 409)",1
124,"(92, 380)","(209, 105)","(287, 73)","(348, 114)","(411, 229)","(190, 497)","(250, 365)","(299, 374)","(338, 409)",1
125,"(92, 380)","(208, 106)","(287, 72)","(347, 112)","(409, 226)","(190, 497)","(249, 365)","(299, 374)","(338, 410)",1
126,"(92, 380)","(208, 106)","(288, 72)","(348, 113)","(411, 229)","(190, 497)","(249, 365)","(299, 374)","(338, 409)",1
127,"(92, 380)","(209, 105)","(286, 72)","(347, 112)","(410, 227)","(190, 497)","(249, 366)","(299, 375)","(338, 409)",1
128,"(92, 380)","(208, 106)","(286, 72)","(348, 113)","(409, 226)","(190, 497)","(249, 366)","(299, 373)","(338, 410)",1
129,"(93, 378)","(208, 106)","(286, 72)","(348, 114)","(409, 226)","(190, 496)","(249, 365)","(299, 374)","(338, 409)",1
130,"(92, 381)","(209, 105)","(287, 73)","(348, 114)","(410, 227)","(190, 497)","(249, 366)","(299, 374)","(338, 409)",1
131,"(92, 381)","(208, 106)","(287, 72)","(349, 115)","(409, 226)","(190, 497)","(249, 365)","(299, 374)","(338, 409)",1
132,"(92, 381)","(208, 106)","(288, 72)","(348, 114)","(411, 229)","(190, 497)","(249, 365)","(299, 375)","(338, 410)",1
133,"(92, 381)","(208, 106)","(287, 73)","(348, 113)","(409, 226)","(190, 497)","(249, 366)","(299, 374)","(338, 409)",1
134,"(92, 381)","(208, 106)","(287, 73)","(348, 113)","(409, 226)","(190, 497)","(249, 365)","(299, 374)","(338, 410)",1
135,"(93, 378)","(208, 106)","(286, 72)","(348, 114)","(409, 226)","(190, 497)","(249, 365)","(299, 375)","(338, 410)",1
136,"(92, 381)","(210, 104)","(287, 73)","(348, 113)","(409, 226)","(190, 497)","(249, 366)","(299, 373)","(338, 410)",1
137,"(93, 378)","(210, 104)","(288, 72)","(349, 115)","(409, 226)","(190, 497)","(250, 365)","(299, 374)","(338, 409)",1
138,"(92, 381)","(209, 105)","(286, 72)","(349, 116)","(409, 226)","(190, 497)","(249, 365)","(299, 374)","(338, 409)",1
139,"(92, 381)","(210, 104)","(287, 73)","(348, 114)","(409, 226)","(190, 497)","(249, 366)","(299, 374)","(338, 409)",1
140,"(93, 378)","(209, 105)","(286, 72)","(348, 113)","(410, 228)","(190, 497)","(249, 365)","(299, 374)","(338, 410)",1
141,"(92, 381)","(209, 105)","(287, 73)","(348, 113)","(409, 226)","(190, 497)","(250, 365)","(299, 375)","(338, 409)",1
142,"(93, 378)","(209, 105)","(286, 72)","(348, 114)","(409, 226)","(190, 497)","(249, 366)","(299, 374)","(338, 410)",1
143,"(93, 378)","(209, 105)","(287, 73)","(348, 113)","(409, 226)","(190, 497)","(249, 366)","(299, 374)","(338, 410)",1
144,"(93, 378)","(210, 104)","(286, 72)","(348, 113)","(409, 226)","(190, 497)","(249, 366)","(299, 373)","(338, 410)",1
145,"(93, 378)","(210, 104)","(286, 72)","(347, 112)","(409, 226)","(190, 497)","(249, 366)","(299, 375)","(338, 409)",1
146,"(93, 378)","(209, 106)","(287, 71)","(347, 112)","(410, 228)","(190, 497)","(249, 365)","(299, 374)","(338, 409)",1
147,"(93, 378)","(209, 106)","(287, 71)","(348, 113)","(411, 229)","(191, 496)","(249, 366)","(299, 374)","(338, 410)",1
148,"(93, 378)","(210, 106)","(287, 73)","(349, 115)","(411, 229)","(191, 496)","(249, 366)","(299, 374)","(338, 409)",1
149,"(93, 377)","(210, 103)","(286, 72)","(349, 114)","(410, 227)","(192, 495)","(249, 365)","(299, 374)","(338, 411)",1
150,"(92, 379)","(210, 104)","(287, 71)","(347, 112)","(410, 227)","(192, 497)","(249, 365)","(299, 374)","(338, 410)",1
151,"(94, 377)","(209, 105)","(288, 71)","(349, 113)","(411, 226)","(194, 496)","(251, 362)","(300, 372)","(339, 406)",1
152,"(97, 372)","(210, 102)","(286, 68)","(350, 108)","(416, 222)","(198, 488)","(254, 356)","(304, 364)","(343, 399)",1
153,"(101, 357)","(216, 91)","(290, 59)","(355, 101)","(425, 220)","(202, 473)","(258, 345)","(308, 353)","(346, 388)",1
154,"(102, 346)","(221, 79)","(296, 48)","(359, 90)","(427, 207)","(203, 462)","(261, 332)","(310, 341)","(349, 378)",1
155,"(103, 336)","(223, 68)","(297, 38)","(362, 80)","(428, 197)","(202, 454)","(261, 322)","(311, 332)","(348, 366)",1
156,"(101, 334)","(220, 62)","(298, 31)","(360, 73)","(428, 191)","(201, 449)","(259, 316)","(309, 325)","(347, 358)",1
157,"(101, 334)","(218, 58)","(294, 23)","(357, 65)","(425, 180)","(201, 448)","(259, 312)","(308, 321)","(347, 353)",1
158,"(101, 335)","(219, 57)","(294, 24)","(357, 64)","(425, 180)","(200, 451)","(258, 313)","(308, 321)","(347, 353)",1
159,"(99, 340)","(218, 58)","(293, 23)","(356, 63)","(425, 179)","(200, 450)","(258, 312)","(308, 320)","(347, 352)",1
160,"(99, 341)","(218, 58)","(294, 24)","(356, 63)","(424, 177)","(200, 451)","(258, 312)","(308, 319)","(347, 353)",1
161,"(100, 342)","(219, 57)","(293, 22)","(357, 61)","(426, 177)","(201, 450)","(258, 311)","(308, 319)","(347, 349)",1
162,"(100, 346)","(218, 58)","(294, 23)","(356, 61)","(425, 175)","(201, 453)","(258, 311)","(308, 319)","(347, 348)",1
163,"(100, 346)","(218, 57)","(293, 22)","(357, 62)","(425, 175)","(201, 453)","(258, 312)","(308, 320)","(347, 348)",1
164,"(101, 343)","(218, 57)","(292, 23)","(357, 62)","(425, 175)","(201, 452)","(258, 312)","(308, 319)","(347, 348)",1
165,"(101, 343)","(219, 57)","(293, 22)","(356, 61)","(425, 175)","(201, 452)","(258, 312)","(308, 319)","(347, 349)",1
166,"(102, 341)","(218, 59)","(293, 23)","(356, 61)","(425, 175)","(201, 452)","(258, 312)","(308, 319)","(347, 349)",1
167,"(101, 344)","(217, 59)","(293, 23)","(358, 63)","(425, 175)","(201, 453)","(257, 313)","(308, 319)","(347, 349)",1
168,"(101, 345)","(216, 61)","(292, 24)","(356, 62)","(425, 175)","(201, 453)","(268, 307)","(308, 320)","(347, 349)",1
169,"(101, 346)","(215, 61)","(292, 23)","(355, 60)","(425, 175)","(200, 456)","(256, 313)","(308, 319)","(347, 349)",1
170,"(100, 349)","(215, 61)","(293, 24)","(355, 62)","(424, 174)","(200, 457)","(256, 314)","(307, 321)","(347, 349)",1
171,"(101, 348)","(213, 64)","(292, 24)","(355, 61)","(424, 174)","(200, 458)","(256, 314)","(307, 319)","(347, 349)",1
172,"(100, 352)","(213, 64)","(290, 25)","(354, 60)","(424, 174)","(200, 458)","(256, 315)","(307, 319)","(347, 349)",1
173,"(99, 355)","(212, 64)","(290, 24)","(354, 60)","(424, 174)","(200, 458)","(256, 315)","(307, 319)","(347, 349)",1
174,"(99, 355)","(212, 64)","(291, 25)","(353, 59)","(423, 172)","(200, 459)","(256, 315)","(307, 320)","(347, 349)",1
175,"(100, 352)","(214, 62)","(290, 24)","(355, 60)","(425, 175)","(200, 458)","(257, 315)","(307, 318)","(348, 350)",1
176,"(100, 352)","(213, 63)","(291, 25)","(355, 60)","(425, 175)","(200, 458)","(257, 315)","(308, 320)","(348, 350)",1
177,"(100, 352)","(213, 62)","(290, 24)","(355, 60)","(423, 172)","(201, 456)","(257, 316)","(308, 319)","(348, 350)",1
178,"(101, 349)","(212, 64)","(291, 24)","(355, 61)","(425, 175)","(201, 456)","(257, 315)","(308, 320)","(348, 350)",1
179,"(100, 351)","(213, 62)","(290, 24)","(354, 60)","(423, 172)","(201, 456)","(257, 315)","(308, 319)","(348, 350)",1
180,"(100, 351)","(212, 64)","(290, 24)","(355, 61)","(423, 172)","(201, 456)","(257, 315)","(308, 319)","(348, 350)",1
181,"(100, 351)","(213, 62)","(290, 24)","(355, 61)","(424, 174)","(201, 456)","(257, 315)","(308, 319)","(348, 350)",1
182,"(101, 348)","(213, 62)","(291, 25)","(354, 60)","(424, 174)","(201, 456)","(257, 315)","(308, 319)","(348, 350)",1
183,"(100, 351)","(213, 62)","(291, 25)","(354, 60)","(424, 174)","(201, 456)","(257, 315)","(308, 319)","(348, 350)",1
184,"(100, 351)","(213, 63)","(291, 25)","(354, 60)","(424, 174)","(201, 456)","(257, 315)","(308, 319)","(348, 350)",1
185,"(101, 348)","(213, 63)","(291, 25)","(355, 62)","(424, 174)","(201, 456)","(257, 315)","(308, 319)","(348, 350)",1
186,"(101, 348)","(213, 63)","(291, 25)","(354, 60)","(424, 174)","(201, 456)","(257, 315)","(308, 319)","(348, 350)",1
187,"(101, 348)","(214, 62)","(291, 25)","(356, 61)","(424, 174)","(201, 455)","(257, 315)","(308, 319)","(348, 350)",1
188,"(100, 350)","(213, 63)","(291, 25)","(356, 61)","(424, 174)","(201, 455)","(257, 315)","(308, 319)","(348, 350)",1
189,"(101, 348)","(213, 63)","(291, 25)","(354, 59)","(424, 174)","(201, 455)","(257, 315)","(308, 318)","(348, 351)",1
190,"(100, 350)","(213, 63)","(290, 24)","(355, 62)","(424, 174)","(201, 454)","(258, 314)","(308, 317)","(348, 350)",1
191,"(100, 350)","(214, 63)","(291, 25)","(356, 62)","(424, 174)","(201, 454)","(257, 315)","(308, 320)","(348, 351)",1
192,"(101, 347)","(213, 63)","(291, 25)","(357, 63)","(424, 174)","(201, 454)","(257, 315)","(308, 319)","(348, 350)",1
193,"(101, 347)","(214, 61)","(289, 24)","(355, 62)","(424, 174)","(201, 454)","(257, 315)","(308, 319)","(348, 351)",1
194,"(101, 347)","(213, 63)","(289, 24)","(357, 63)","(424, 174)","(201, 454)","(257, 315)","(308, 319)","(348, 351)",1
195,"(101, 347)","(213, 62)","(290, 24)","(356, 62)","(424, 174)","(201, 454)","(258, 315)","(308, 319)","(348, 350)",1
196,"(101, 347)","(214, 61)","(290, 24)","(355, 62)","(423, 173)","(201, 454)","(258, 315)","(308, 319)","(348, 351)",1
197,"(100, 350)","(214, 61)","(291, 25)","(355, 62)","(424, 174)","(201, 454)","(258, 315)","(308, 319)","(348, 351)",1
198,"(101, 347)","(214, 61)","(290, 24)","(355, 62)","(424, 174)","(201, 454)","(258, 315)","(308, 319)","(348, 350)",1
199,"(100, 350)","(214, 61)","(291, 25)","(357, 63)","(424, 174)","(201, 454)","(257, 315)","(308, 319)","(348, 350)",1
200,"(100, 350)","(214, 63)","(291, 25)","(357, 63)","(425, 176)","(201, 454)","(258, 315)","(308, 319)","(348, 351)",1
201,"(101, 348)","(214, 63)","(291, 25)","(356, 63)","(423, 173)","(201, 454)","(257, 315)","(308, 319)","(348, 350)",1
202,"(100, 350)","(213, 63)","(291, 25)","(355, 62)","(424, 174)","(201, 454)","(257, 315)","(308, 318)","(348, 352)",1
203,"(101, 348)","(213, 63)","(290, 24)","(353, 59)","(425, 176)","(200, 457)","(258, 315)","(307, 318)","(348, 351)",1
